Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Sierra Leone,7/23/2015,4282,287,8693,13262,158,208,3583,3949
Guinea,7/23/2015,13,450,3325,3788,,450,2066,2516
Liberia,7/23/2015,5636,1879,3151,10666,,,,4806
United Kingdom,7/23/2015,0,0,1,1,,,,0
Nigeria,7/23/2015,0,1,19,20,0,1,7,8
Mali,7/23/2015,0,1,7,8,,,,6
Senegal,7/23/2015,0,0,1,1,0,0,0,0
Liberia,7/23/2015,,1,6,7,,,2,2
Italy,7/23/2015,0,0,1,1,,,,0
United States of America,7/24/2015,0,0,4,4,0,0,1,1
Liberia,7/24/2015,,1,6,7,,,2,2
Mali,7/24/2015,0,1,7,8,,,,6
Liberia,7/24/2015,5636,1879,3151,10666,,,,4806
Sierra Leone,7/24/2015,4284,287,8693,13264,158,208,3583,3949
Italy,7/24/2015,0,0,1,1,,,,0
Senegal,7/24/2015,0,0,1,1,0,0,0,0
Guinea,7/24/2015,11,451,3325,3787,,451,2066,2517
Nigeria,7/24/2015,0,1,19,20,0,1,7,8
Spain,7/24/2015,0,0,1,1,0,0,0,0
United Kingdom,7/24/2015,0,0,1,1,,,,0
Spain,7/27/2015,0,0,1,1,0,0,0,0
Mali,7/27/2015,0,1,7,8,,,,6
Senegal,7/27/2015,0,0,1,1,0,0,0,0
Nigeria,7/27/2015,0,1,19,20,0,1,7,8
Liberia,7/27/2015,5636,1879,3151,10666,,,,4806
United States of America,7/27/2015,0,0,4,4,0,0,1,1
Guinea,7/27/2015,16,451,3325,3792,,451,2068,2519
United Kingdom,7/27/2015,0,0,1,1,,,,0
Italy,7/27/2015,0,0,1,1,,,,0
Liberia,7/27/2015,,1,6,7,,,2,2
Sierra Leone,7/27/2015,4302,287,8694,13283,158,208,3585,3951
United States of America,7/28/2015,0,0,4,4,0,0,1,1
Spain,7/28/2015,0,0,1,1,0,0,0,0
Mali,7/28/2015,0,1,7,8,,,,6
United Kingdom,7/28/2015,0,0,1,1,,,,0
Sierra Leone,7/28/2015,4309,287,8694,13290,158,208,3585,3951
Guinea,7/28/2015,9,451,3326,3786,,451,2069,2520
Nigeria,7/28/2015,0,1,19,20,0,1,7,8
Senegal,7/28/2015,0,0,1,1,0,0,0,0
Italy,7/28/2015,0,0,1,1,,,,0
Liberia,7/28/2015,5636,1879,3151,10666,,,,4806
Liberia,7/28/2015,,1,6,7,,,2,2
Nigeria,7/29/2015,0,1,19,20,0,1,7,8
Sierra Leone,7/29/2015,4309,287,8694,13290,158,208,3585,3951
Liberia,7/29/2015,5636,1879,3151,10666,,,,4806
United States of America,7/29/2015,0,0,4,4,0,0,1,1
Senegal,7/29/2015,0,0,1,1,0,0,0,0
Liberia,7/29/2015,,0,6,6,,,2,2
Spain,7/29/2015,0,0,1,1,0,0,0,0
Mali,7/29/2015,0,1,7,8,,,,6
United Kingdom,7/29/2015,0,0,1,1,,,,0
Italy,7/29/2015,0,0,1,1,,,,0
Guinea,7/29/2015,9,451,3326,3786,,451,2069,2520
Guinea,7/30/2015,7,452,3326,3785,,452,2069,2521
Senegal,7/30/2015,0,0,1,1,0,0,0,0
Spain,7/30/2015,0,0,1,1,0,0,0,0
Mali,7/30/2015,0,1,7,8,,,,6
Sierra Leone,7/30/2015,4398,287,8694,13379,158,208,3585,3951
Nigeria,7/30/2015,0,1,19,20,0,1,7,8
Italy,7/30/2015,0,0,1,1,,,,0
United States of America,7/30/2015,0,0,4,4,0,0,1,1
Liberia,7/30/2015,,0,6,6,,,2,2
United Kingdom,7/30/2015,0,0,1,1,,,,0
Liberia,7/30/2015,5636,1879,3151,10666,,,,4806
Nigeria,7/31/2015,0,1,19,20,0,1,7,8
Senegal,7/31/2015,0,0,1,1,0,0,0,0
United States of America,7/31/2015,0,0,4,4,0,0,1,1
Liberia,7/31/2015,,0,6,6,,,2,2
Sierra Leone,7/31/2015,4406,287,8694,13387,158,208,3585,3951
United Kingdom,7/31/2015,0,0,1,1,,,,0
Guinea,7/31/2015,3,452,3326,3781,,452,2069,2521
Spain,7/31/2015,0,0,1,1,0,0,0,0
Italy,7/31/2015,0,0,1,1,,,,0
Liberia,7/31/2015,5636,1879,3151,10666,,,,4806
Mali,7/31/2015,0,1,7,8,,,,6
United Kingdom,8/3/2015,0,0,1,1,,,,0
Liberia,8/3/2015,,0,6,6,,,2,2
Sierra Leone,8/3/2015,4420,287,8695,13402,158,208,3585,3951
Italy,8/3/2015,0,0,1,1,,,,0
United States of America,8/3/2015,0,0,4,4,0,0,1,1
Nigeria,8/3/2015,0,1,19,20,0,1,7,8
Liberia,8/3/2015,5636,1879,3151,10666,,,,4806
Guinea,8/3/2015,7,452,3327,3786,,452,2070,2522
Spain,8/3/2015,0,0,1,1,0,0,0,0
Senegal,8/3/2015,0,0,1,1,0,0,0,0
Mali,8/3/2015,0,1,7,8,,,,6
Spain,8/4/2015,0,0,1,1,0,0,0,0
Sierra Leone,8/4/2015,4424,287,8695,13406,158,208,3585,3951
Liberia,8/4/2015,5636,1879,3151,10666,,,,4806
United Kingdom,8/4/2015,0,0,1,1,,,,0
Italy,8/4/2015,0,0,1,1,,,,0
United States of America,8/4/2015,0,0,4,4,0,0,1,1
Senegal,8/4/2015,0,0,1,1,0,0,0,0
Mali,8/4/2015,0,1,7,8,,,,6
Nigeria,8/4/2015,0,1,19,20,0,1,7,8
Guinea,8/4/2015,5,452,3327,3784,,452,2070,2522
Liberia,8/4/2015,,0,6,6,,,2,2
Guinea,8/5/2015,5,452,3327,3784,,452,2070,2522
Spain,8/5/2015,0,0,1,1,0,0,0,0
Mali,8/5/2015,0,1,7,8,,,,6
Sierra Leone,8/5/2015,4424,287,8695,13406,158,208,3585,3951
Liberia,8/5/2015,5636,1879,3151,10666,,,,4806
Italy,8/5/2015,0,0,1,1,,,,0
Senegal,8/5/2015,0,0,1,1,0,0,0,0
Liberia,8/5/2015,,0,6,6,,,2,2
United States of America,8/5/2015,0,0,4,4,0,0,1,1
United Kingdom,8/5/2015,0,0,1,1,,,,0
Nigeria,8/5/2015,0,1,19,20,0,1,7,8
Spain,8/6/2015,0,0,1,1,0,0,0,0
Guinea,8/6/2015,11,452,3329,3792,,452,2072,2524
Senegal,8/6/2015,0,0,1,1,0,0,0,0
Mali,8/6/2015,0,1,7,8,,,,6
Nigeria,8/6/2015,0,1,19,20,0,1,7,8
United Kingdom,8/6/2015,0,0,1,1,,,,0
Sierra Leone,8/6/2015,4443,287,8696,13426,158,208,3585,3951
Liberia,8/6/2015,5636,1879,3151,10666,,,,4806
Liberia,8/6/2015,,0,6,6,,,2,2
United States of America,8/6/2015,0,0,4,4,0,0,1,1
Italy,8/6/2015,0,0,1,1,,,,0
Liberia,8/7/2015,,0,6,6,,,2,2
Spain,8/7/2015,0,0,1,1,0,0,0,0
Sierra Leone,8/7/2015,4445,287,8696,13428,158,208,3585,3951
United States of America,8/7/2015,0,0,4,4,0,0,1,1
Liberia,8/7/2015,5636,1879,3151,10666,,,,4806
Guinea,8/7/2015,14,452,3329,3795,,452,2072,2524
Senegal,8/7/2015,0,0,1,1,0,0,0,0
United Kingdom,8/7/2015,0,0,1,1,,,,0
Nigeria,8/7/2015,0,1,19,20,0,1,7,8
Italy,8/7/2015,0,0,1,1,,,,0
Mali,8/7/2015,0,1,7,8,,,,6
Liberia,8/10/2015,,0,6,6,,,2,2
United Kingdom,8/10/2015,0,0,1,1,,,,0
Sierra Leone,8/10/2015,4481,287,8697,13465,158,208,3585,3951
Senegal,8/10/2015,0,0,1,1,0,0,0,0
Liberia,8/10/2015,5636,1879,3151,10666,,,,4806
Spain,8/10/2015,0,0,1,1,0,0,0,0
Guinea,8/10/2015,10,452,3329,3791,,452,2072,2524
Mali,8/10/2015,0,1,7,8,,,,6
United States of America,8/10/2015,0,0,4,4,0,0,1,1
Italy,8/10/2015,0,0,1,1,,,,0
Nigeria,8/10/2015,0,1,19,20,0,1,7,8
Spain,8/11/2015,0,0,1,1,0,0,0,0
Guinea,8/11/2015,6,452,3329,3787,,452,2072,2524
Italy,8/11/2015,0,0,1,1,,,,0
Liberia,8/11/2015,,0,6,6,,,2,2
United States of America,8/11/2015,0,0,4,4,0,0,1,1
Sierra Leone,8/11/2015,4486,287,8697,13470,158,208,3585,3951
Senegal,8/11/2015,0,0,1,1,0,0,0,0
Nigeria,8/11/2015,0,1,19,20,0,1,7,8
United Kingdom,8/11/2015,0,0,1,1,,,,0
Mali,8/11/2015,0,1,7,8,,,,6
Liberia,8/11/2015,5636,1879,3151,10666,,,,4806
Liberia,8/12/2015,,0,6,6,,,2,2
Spain,8/12/2015,0,0,1,1,0,0,0,0
United Kingdom,8/12/2015,0,0,1,1,,,,0
Nigeria,8/12/2015,0,1,19,20,0,1,7,8
United States of America,8/12/2015,0,0,4,4,0,0,1,1
Italy,8/12/2015,0,0,1,1,,,,0
Mali,8/12/2015,0,1,7,8,,,,6
Liberia,8/12/2015,5636,1879,3151,10666,,,,4806
Senegal,8/12/2015,0,0,1,1,0,0,0,0
Guinea,8/12/2015,6,452,3329,3787,,452,2072,2524
Sierra Leone,8/12/2015,4486,287,8697,13470,158,208,3585,3951
Senegal,8/13/2015,0,0,1,1,0,0,0,0
Guinea,8/13/2015,10,452,3330,3792,,452,2072,2524
Sierra Leone,8/13/2015,4500,287,8697,13484,158,208,3585,3951
Italy,8/13/2015,0,0,1,1,,,,0
Spain,8/13/2015,0,0,1,1,0,0,0,0
United Kingdom,8/13/2015,0,0,1,1,,,,0
Mali,8/13/2015,0,1,7,8,,,,6
United States of America,8/13/2015,0,0,4,4,0,0,1,1
Nigeria,8/13/2015,0,1,19,20,0,1,7,8
Liberia,8/13/2015,,0,6,6,,,2,2
Liberia,8/13/2015,5636,1879,3151,10666,,,,4806
Senegal,8/14/2015,0,0,1,1,0,0,0,0
Mali,8/14/2015,0,1,7,8,,,,6
Spain,8/14/2015,0,0,1,1,0,0,0,0
Nigeria,8/14/2015,0,1,19,20,0,1,7,8
United States of America,8/14/2015,0,0,4,4,0,0,1,1
Italy,8/14/2015,0,0,1,1,,,,0
Guinea,8/14/2015,9,452,3330,3791,,452,2072,2524
Sierra Leone,8/14/2015,4501,287,8697,13485,158,208,3586,3952
Liberia,8/14/2015,,0,6,6,,,2,2
Liberia,8/14/2015,5636,1879,3151,10666,,,,4806
United Kingdom,8/14/2015,0,0,1,1,,,,0
Guinea,8/17/2015,6,452,3332,3790,,452,2072,2524
Senegal,8/17/2015,0,0,1,1,0,0,0,0
Liberia,8/17/2015,,0,6,6,,,2,2
Spain,8/17/2015,0,0,1,1,0,0,0,0
Sierra Leone,8/17/2015,4505,287,8697,13489,158,208,3586,3952
Italy,8/17/2015,0,0,1,1,,,,0
United States of America,8/17/2015,0,0,4,4,0,0,1,1
Nigeria,8/17/2015,0,1,19,20,0,1,7,8
Liberia,8/17/2015,5636,1879,3151,10666,,,,4806
Mali,8/17/2015,0,1,7,8,,,,6
United Kingdom,8/17/2015,0,0,1,1,,,,0
United Kingdom,8/18/2015,0,0,1,1,,,,0
Spain,8/18/2015,0,0,1,1,0,0,0,0
Sierra Leone,8/18/2015,4510,287,8697,13494,158,208,3586,3952
Italy,8/18/2015,0,0,1,1,,,,0
Liberia,8/18/2015,5636,1879,3151,10666,,,,4806
Guinea,8/18/2015,2,452,3332,3786,,452,2072,2524
United States of America,8/18/2015,0,0,4,4,0,0,1,1
Senegal,8/18/2015,0,0,1,1,0,0,0,0
Nigeria,8/18/2015,0,1,19,20,0,1,7,8
Liberia,8/18/2015,,0,6,6,,,2,2
Mali,8/18/2015,0,1,7,8,,,,6
Liberia,8/19/2015,,0,6,6,,,2,2
Italy,8/19/2015,0,0,1,1,,,,0
Senegal,8/19/2015,0,0,1,1,0,0,0,0
Nigeria,8/19/2015,0,1,19,20,0,1,7,8
Spain,8/19/2015,0,0,1,1,0,0,0,0
Guinea,8/19/2015,2,452,3332,3786,,452,2072,2524
United Kingdom,8/19/2015,0,0,1,1,,,,0
Mali,8/19/2015,0,1,7,8,,,,6
Sierra Leone,8/19/2015,4510,287,8697,13494,158,208,3586,3952
Liberia,8/19/2015,5636,1879,3151,10666,,,,4806
United States of America,8/19/2015,0,0,4,4,0,0,1,1
Senegal,8/20/2015,0,0,1,1,0,0,0,0
Guinea,8/20/2015,6,452,3334,3792,,452,2074,2526
Liberia,8/20/2015,5636,1879,3151,10666,,,,4806
Spain,8/20/2015,0,0,1,1,0,0,0,0
Mali,8/20/2015,0,1,7,8,,,,6
Nigeria,8/20/2015,0,1,19,20,0,1,7,8
United Kingdom,8/20/2015,0,0,1,1,,,,0
Italy,8/20/2015,0,0,1,1,,,,0
Sierra Leone,8/20/2015,4534,287,8697,13518,158,208,3586,3952
United States of America,8/20/2015,0,0,4,4,0,0,1,1
Liberia,8/20/2015,,0,6,6,,,2,2
Senegal,8/21/2015,0,0,1,1,0,0,0,0
Italy,8/21/2015,0,0,1,1,,,,0
Liberia,8/21/2015,,0,6,6,,,2,2
Spain,8/21/2015,0,0,1,1,0,0,0,0
United States of America,8/21/2015,0,0,4,4,0,0,1,1
Guinea,8/21/2015,9,452,3334,3795,,452,2074,2526
Liberia,8/21/2015,5636,1879,3151,10666,,,,4806
Nigeria,8/21/2015,0,1,19,20,0,1,7,8
Mali,8/21/2015,0,1,7,8,,,,6
Sierra Leone,8/21/2015,4549,287,8697,13533,158,208,3586,3952
United Kingdom,8/21/2015,0,0,1,1,,,,0
Liberia,8/24/2015,,0,6,6,,,2,2
Senegal,8/24/2015,0,0,1,1,0,0,0,0
Guinea,8/24/2015,4,452,3334,3790,,452,2075,2527
United Kingdom,8/24/2015,0,0,1,1,,,,0
Mali,8/24/2015,0,1,7,8,,,,6
Spain,8/24/2015,0,0,1,1,0,0,0,0
Nigeria,8/24/2015,0,1,19,20,0,1,7,8
Italy,8/24/2015,0,0,1,1,,,,0
United States of America,8/24/2015,0,0,4,4,0,0,1,1
Liberia,8/24/2015,5636,1879,3151,10666,,,,4806
Sierra Leone,8/24/2015,4554,287,8697,13538,158,208,3586,3952
Italy,8/25/2015,0,0,1,1,,,,0
Senegal,8/25/2015,0,0,1,1,0,0,0,0
United States of America,8/25/2015,0,0,4,4,0,0,1,1
Liberia,8/25/2015,5636,1879,3151,10666,,,,4806
Liberia,8/25/2015,,0,6,6,,,2,2
Spain,8/25/2015,0,0,1,1,0,0,0,0
Sierra Leone,8/25/2015,4557,287,8697,13541,158,208,3586,3952
Mali,8/25/2015,0,1,7,8,,,,6
Nigeria,8/25/2015,0,1,19,20,0,1,7,8
Guinea,8/25/2015,5,452,3335,3792,,452,2075,2527
United Kingdom,8/25/2015,0,0,1,1,,,,0
Liberia,8/26/2015,,0,6,6,,,2,2
Mali,8/26/2015,0,1,7,8,,,,6
United States of America,8/26/2015,0,0,4,4,0,0,1,1
Italy,8/26/2015,0,0,1,1,,,,0
Nigeria,8/26/2015,0,1,19,20,0,1,7,8
Sierra Leone,8/26/2015,4557,287,8697,13541,158,208,3586,3952
Spain,8/26/2015,0,0,1,1,0,0,0,0
Guinea,8/26/2015,5,452,3335,3792,,452,2075,2527
United Kingdom,8/26/2015,0,0,1,1,,,,0
Senegal,8/26/2015,0,0,1,1,0,0,0,0
Liberia,8/26/2015,5636,1879,3151,10666,,,,4806
Liberia,8/27/2015,,0,6,6,,,2,2
Mali,8/27/2015,0,1,7,8,,,,6
Nigeria,8/27/2015,0,1,19,20,0,1,7,8
Guinea,8/27/2015,9,452,3336,3797,,452,2076,2528
Italy,8/27/2015,0,0,1,1,,,,0
Spain,8/27/2015,0,0,1,1,0,0,0,0
Sierra Leone,8/27/2015,4598,287,8697,13582,158,208,3586,3952
Liberia,8/27/2015,5636,1879,3151,10666,,,,4806
United Kingdom,8/27/2015,0,0,1,1,,,,0
Senegal,8/27/2015,0,0,1,1,0,0,0,0
United States of America,8/27/2015,0,0,4,4,0,0,1,1
Liberia,8/28/2015,5636,1879,3151,10666,,,,4806
Mali,8/28/2015,0,1,7,8,,,,6
United States of America,8/28/2015,0,0,4,4,0,0,1,1
Spain,8/28/2015,0,0,1,1,0,0,0,0
Senegal,8/28/2015,0,0,1,1,0,0,0,0
Liberia,8/28/2015,,0,6,6,,,2,2
Nigeria,8/28/2015,0,1,19,20,0,1,7,8
Italy,8/28/2015,0,0,1,1,,,,0
Guinea,8/28/2015,9,452,3336,3797,,452,2076,2528
United Kingdom,8/28/2015,0,0,1,1,,,,0
Sierra Leone,8/28/2015,4602,287,8697,13586,158,208,3586,3952
Mali,8/31/2015,0,1,7,8,,,,6
Liberia,8/31/2015,,0,6,6,,,2,2
Guinea,8/31/2015,1,452,3337,3790,,452,2076,2528
Sierra Leone,8/31/2015,4618,287,8698,13603,158,208,3587,3953
Nigeria,8/31/2015,0,1,19,20,0,1,7,8
Senegal,8/31/2015,0,0,1,1,0,0,0,0
Liberia,8/31/2015,5636,1879,3151,10666,,,,4806
Spain,8/31/2015,0,0,1,1,0,0,0,0
United States of America,8/31/2015,0,0,4,4,0,0,1,1
United Kingdom,8/31/2015,0,0,1,1,,,,0
Italy,8/31/2015,0,0,1,1,,,,0
Spain,9/1/2015,0,0,1,1,0,0,0,0
Guinea,9/1/2015,3,452,3337,3792,,452,2077,2529
Liberia,9/1/2015,5636,1879,3151,10666,,,,4806
Sierra Leone,9/1/2015,4624,287,8698,13609,158,208,3587,3953
United States of America,9/1/2015,0,0,4,4,0,0,1,1
Liberia,9/1/2015,,0,6,6,,,2,2
Mali,9/1/2015,0,1,7,8,,,,6
Italy,9/1/2015,0,0,1,1,,,,0
United Kingdom,9/1/2015,0,0,1,1,,,,0
Senegal,9/1/2015,0,0,1,1,0,0,0,0
Nigeria,9/1/2015,0,1,19,20,0,1,7,8
Sierra Leone,9/2/2015,4624,287,8698,13609,158,208,3587,3953
Mali,9/2/2015,0,1,7,8,,,,6
United States of America,9/2/2015,0,0,4,4,0,0,1,1
United Kingdom,9/2/2015,0,0,1,1,,,,0
Guinea,9/2/2015,3,452,3337,3792,,452,2077,2529
Liberia,9/2/2015,5636,1879,3151,10666,,,,4806
Spain,9/2/2015,0,0,1,1,0,0,0,0
Senegal,9/2/2015,0,0,1,1,0,0,0,0
Italy,9/2/2015,0,0,1,1,,,,0
Nigeria,9/2/2015,0,1,19,20,0,1,7,8
Liberia,9/2/2015,,,6,6,,,2,2
Italy,9/3/2015,0,0,1,1,,,,0
Spain,9/3/2015,0,0,1,1,0,0,0,0
Mali,9/3/2015,0,1,7,8,,,,6
United States of America,9/3/2015,0,0,4,4,0,0,1,1
Guinea,9/3/2015,2,452,3338,3792,,452,2077,2529
Senegal,9/3/2015,0,0,1,1,0,0,0,0
United Kingdom,9/3/2015,0,0,1,1,,,,0
Liberia,9/3/2015,5636,1879,3151,10666,,,,4806
Nigeria,9/3/2015,0,1,19,20,0,1,7,8
Liberia,9/3/2015,,0,6,6,,,2,2
Sierra Leone,9/3/2015,4653,287,8698,13638,158,208,3587,3953
Spain,9/4/2015,0,0,1,1,0,0,0,0
United States of America,9/4/2015,0,0,4,4,0,0,1,1
Italy,9/4/2015,0,0,1,1,,,,0
Liberia,9/4/2015,5636,1879,3151,10666,,,,4806
Senegal,9/4/2015,0,0,1,1,0,0,0,0
Nigeria,9/4/2015,0,1,19,20,0,1,7,8
Guinea,9/4/2015,2,452,3338,3792,,452,2077,2529
Sierra Leone,9/4/2015,4654,287,8698,13639,158,208,3587,3953
Liberia,9/4/2015,,0,6,6,,,2,2
United Kingdom,9/4/2015,0,0,1,1,,,,0
Mali,9/4/2015,0,1,7,8,,,,6
Nigeria,9/7/2015,0,1,19,20,0,1,7,8
Mali,9/7/2015,0,1,7,8,,,,6
Guinea,9/7/2015,3,452,3338,3793,,452,2078,2530
Liberia,9/7/2015,,0,6,6,,,2,2
Senegal,9/7/2015,0,0,1,1,0,0,0,0
Italy,9/7/2015,0,0,1,1,,,,0
Spain,9/7/2015,0,0,1,1,0,0,0,0
United States of America,9/7/2015,0,0,4,4,0,0,1,1
United Kingdom,9/7/2015,0,0,1,1,,,,0
Sierra Leone,9/7/2015,4684,287,8699,13670,158,208,3587,3953
Liberia,9/7/2015,5636,1879,3151,10666,,,,4806
Senegal,9/8/2015,0,0,1,1,0,0,0,0
Liberia,9/8/2015,,0,6,6,,,2,2
Nigeria,9/8/2015,0,1,19,20,0,1,7,8
Guinea,9/8/2015,2,452,3338,3792,,452,2078,2530
United States of America,9/8/2015,0,0,4,4,0,0,1,1
Sierra Leone,9/8/2015,4697,287,8699,13683,158,208,3587,3953
United Kingdom,9/8/2015,0,0,1,1,,,,0
Mali,9/8/2015,0,1,7,8,,,,6
Italy,9/8/2015,0,0,1,1,,,,0
Liberia,9/8/2015,5636,1879,3151,10666,,,,4806
Spain,9/8/2015,0,0,1,1,0,0,0,0
Sierra Leone,9/9/2015,4697,287,8699,13683,158,208,3587,3953
Italy,9/9/2015,0,0,1,1,,,,0
United Kingdom,9/9/2015,0,0,1,1,,,,0
Senegal,9/9/2015,0,0,1,1,0,0,0,0
Guinea,9/9/2015,2,452,3338,3792,,452,2078,2530
Liberia,9/9/2015,5636,1879,3151,10666,,,,4806
United States of America,9/9/2015,0,0,4,4,0,0,1,1
Liberia,9/9/2015,,,6,6,,,2,2
Mali,9/9/2015,0,1,7,8,,,,6
Spain,9/9/2015,0,0,1,1,0,0,0,0
Nigeria,9/9/2015,0,1,19,20,0,1,7,8
Nigeria,9/10/2015,0,1,19,20,0,1,7,8
Guinea,9/10/2015,1,452,3338,3791,,452,2078,2530
Liberia,9/10/2015,,0,6,6,,,2,2
Sierra Leone,9/10/2015,4708,287,8702,13697,158,208,3587,3953
Italy,9/10/2015,0,0,1,1,,,,0
United States of America,9/10/2015,0,0,4,4,0,0,1,1
Liberia,9/10/2015,5636,1879,3151,10666,,,,4806
United Kingdom,9/10/2015,0,0,1,1,,,,0
Spain,9/10/2015,0,0,1,1,0,0,0,0
Mali,9/10/2015,0,1,7,8,,,,6
Senegal,9/10/2015,0,0,1,1,0,0,0,0
Sierra Leone,9/11/2015,4711,287,8703,13701,158,208,3587,3953
Nigeria,9/11/2015,0,1,19,20,0,1,7,8
Mali,9/11/2015,0,1,7,8,,,,6
Liberia,9/11/2015,5636,1879,3151,10666,,,,4806
Italy,9/11/2015,0,0,1,1,,,,0
Guinea,9/11/2015,1,452,3338,3791,,452,2078,2530
Liberia,9/11/2015,,0,6,6,,,2,2
United States of America,9/11/2015,0,0,4,4,0,0,1,1
Spain,9/11/2015,0,0,1,1,0,0,0,0
Senegal,9/11/2015,0,0,1,1,0,0,0,0
United Kingdom,9/11/2015,0,0,1,1,,,,0
Spain,9/14/2015,0,0,1,1,0,0,0,0
Liberia,9/14/2015,,0,6,6,,,2,2
Senegal,9/14/2015,0,0,1,1,0,0,0,0
Italy,9/14/2015,0,0,1,1,,,,0
Guinea,9/14/2015,3,452,3338,3793,,452,2078,2530
Nigeria,9/14/2015,0,1,19,20,0,1,7,8
Sierra Leone,9/14/2015,4757,287,8703,13747,158,208,3587,3953
United Kingdom,9/14/2015,0,0,1,1,,,,0
United States of America,9/14/2015,0,0,4,4,0,0,1,1
Liberia,9/14/2015,5636,1879,3151,10666,,,,4806
Mali,9/14/2015,0,1,7,8,,,,6
Senegal,9/15/2015,0,0,1,1,0,0,0,0
Italy,9/15/2015,0,0,1,1,,,,0
United States of America,9/15/2015,0,0,4,4,0,0,1,1
Spain,9/15/2015,0,0,1,1,0,0,0,0
Sierra Leone,9/15/2015,4765,287,8704,13756,158,208,3587,3953
United Kingdom,9/15/2015,0,0,1,1,,,,0
Nigeria,9/15/2015,0,1,19,20,0,1,7,8
Liberia,9/15/2015,5636,1879,3151,10666,,,,4806
Guinea,9/15/2015,2,452,3338,3792,,452,2078,2530
Mali,9/15/2015,0,1,7,8,,,,6
Liberia,9/15/2015,,0,6,6,,,2,2
Guinea,9/16/2015,2,452,3338,3792,,452,2078,2530
Liberia,9/16/2015,5636,1879,3151,10666,,,,4806
Senegal,9/16/2015,0,0,1,1,0,0,0,0
United Kingdom,9/16/2015,0,0,1,1,,,,0
Spain,9/16/2015,0,0,1,1,0,0,0,0
Italy,9/16/2015,0,0,1,1,,,,0
Mali,9/16/2015,0,1,7,8,,,,6
United States of America,9/16/2015,0,0,4,4,0,0,1,1
Liberia,9/16/2015,,,6,6,,,2,2
Sierra Leone,9/16/2015,4765,287,8704,13756,158,208,3587,3953
Nigeria,9/16/2015,0,1,19,20,0,1,7,8
Sierra Leone,9/17/2015,4788,287,8704,13779,158,208,3589,3955
Liberia,9/17/2015,,0,6,6,,,2,2
Mali,9/17/2015,0,1,7,8,,,,6
Spain,9/17/2015,0,0,1,1,0,0,0,0
Senegal,9/17/2015,0,0,1,1,0,0,0,0
Guinea,9/17/2015,4,452,3338,3794,,452,2078,2530
Liberia,9/17/2015,5636,1879,3151,10666,,,,4806
United States of America,9/17/2015,0,0,4,4,0,0,1,1
Nigeria,9/17/2015,0,1,19,20,0,1,7,8
United Kingdom,9/17/2015,0,0,1,1,,,,0
Italy,9/17/2015,0,0,1,1,,,,0
Liberia,9/18/2015,,0,6,6,,,2,2
Senegal,9/18/2015,0,0,1,1,0,0,0,0
Nigeria,9/18/2015,0,1,19,20,0,1,7,8
United Kingdom,9/18/2015,0,0,1,1,,,,0
Liberia,9/18/2015,5636,1879,3151,10666,,,,4806
Spain,9/18/2015,0,0,1,1,0,0,0,0
Mali,9/18/2015,0,1,7,8,,,,6
United States of America,9/18/2015,0,0,4,4,0,0,1,1
Guinea,9/18/2015,3,452,3339,3794,,452,2079,2531
Sierra Leone,9/18/2015,4794,287,8704,13785,158,208,3589,3955
Italy,9/18/2015,0,0,1,1,,,,0
Liberia,9/21/2015,5636,1879,3151,10666,,,,4806
Nigeria,9/21/2015,0,1,19,20,0,1,7,8
Mali,9/21/2015,0,1,7,8,,,,6
United Kingdom,9/21/2015,0,0,1,1,,,,0
Guinea,9/21/2015,4,453,3340,3797,,453,2079,2532
Senegal,9/21/2015,0,0,1,1,0,0,0,0
United States of America,9/21/2015,0,0,4,4,0,0,1,1
Liberia,9/21/2015,,0,6,6,,,2,2
Italy,9/21/2015,0,0,1,1,,,,0
Sierra Leone,9/21/2015,4820,287,8704,13811,158,208,3589,3955
Spain,9/21/2015,0,0,1,1,0,0,0,0
Nigeria,9/22/2015,0,1,19,20,0,1,7,8
Italy,9/22/2015,0,0,1,1,,,,0
United States of America,9/22/2015,0,0,4,4,0,0,1,1
Liberia,9/22/2015,,0,6,6,,,2,2
Spain,9/22/2015,0,0,1,1,0,0,0,0
Sierra Leone,9/22/2015,4832,287,8704,13823,158,208,3589,3955
Mali,9/22/2015,0,1,7,8,,,,6
United Kingdom,9/22/2015,0,0,1,1,,,,0
Guinea,9/22/2015,7,453,3340,3800,,453,2079,2532
Liberia,9/22/2015,5636,1879,3151,10666,,,,4806
Senegal,9/22/2015,0,0,1,1,0,0,0,0
Nigeria,9/23/2015,0,1,19,20,0,1,7,8
Spain,9/23/2015,0,0,1,1,0,0,0,0
United Kingdom,9/23/2015,0,0,1,1,,,,0
Sierra Leone,9/23/2015,4832,287,8704,13823,158,208,3589,3955
Liberia,9/23/2015,,,6,6,,,2,2
Senegal,9/23/2015,0,0,1,1,0,0,0,0
United States of America,9/23/2015,0,0,4,4,0,0,1,1
Liberia,9/23/2015,5636,1879,3151,10666,,,,4806
Mali,9/23/2015,0,1,7,8,,,,6
Italy,9/23/2015,0,0,1,1,,,,0
Guinea,9/23/2015,7,453,3340,3800,,453,2079,2532
United Kingdom,9/24/2015,0,0,1,1,,,,0
